cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"3799","0","720746","2456919","The Bradford National Bank of Greenville","Greenville","IL","62246","3/31/2020","6/2/2020","N","100 E. College Ave.","BRADFORD BCORP INC","4","0","","7","1","Bond","41180","St. Louis, MO-IL","1/1/1867","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.bradfordbank.com","3252","693","2559","35","464","0","176","","288","1806","993","309","504","1182","0","14","1168","0","1168","0","1168","184","99","0","1168"
"3109","0","101952","1106990","The Brady National Bank","Brady","TX","76825","3/31/2020","6/2/2020","N","101-109 S. Blackburn St.","TEXAS COUNTRY BANCSHARES INC","1","0","","4","1","Mcculloch","","","7/10/1905","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.bradynationalbank.com","1087","182","905","42","188","0","66","","122","713","307","56","350","338","130","0","468","0","468","0","468","0","200","0","338"
"28837","2460","580874","","The Brattleboro Savings and Loan Association","Brattleboro","VT","5301","3/31/2020","6/2/2020","SB","221 Main St.","","5","0","","4","0","Windham","","","1/1/1912","3/9/1962","1/3/2017","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.brattbank.com","2143","447","1696","57","517","0","70","","447","2072","1135","190","747","84","0","-5","89","0","89","0","89","53","0","0","89"
"3113","12346","227357","1108789","The Brenham National Bank","Brenham","TX","77833","3/31/2020","6/2/2020","N","2211 S. Day St.","BRENHAM BANCSHARES INC","3","0","","4","1","Washington","","","4/22/1933","1/1/1934","12/4/2008","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.bnbank.bank","3436","321","3115","250","354","0","99","","255","2156","1239","252","665","1063","620","0","1683","0","1683","0","1683","6","465","0","1063"
"28663","2076","559179","","The Brookville Building and Savings Association","Brookville","OH","45309","3/31/2020","6/2/2020","NM","510 Arlington Rd.","","2","0","","5","0","Montgomery","19430","                                        19430","1/1/1903","6/10/1940","4/12/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.brookvillesavings.com","451","78","373","0","18","0","13","","5","282","113","46","123","109","19","19","109","0","109","0","109","0","0","0","92.85"
"11866","8887","765019","1140994","The Bryn Mawr Trust Company","Bryn Mawr","PA","19010","3/31/2020","6/2/2020","SM","801 Lancaster Ave.","BRYN MAWR BANK CORP","44","0","","4","0","Montgomery","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","3/25/1889","1/1/1934","12/15/2017","Stock","0","1","FED","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","http://www.bmt.com","46634","8336","38298","32335","15708","8532","846","-879","7209","37849","19893","3899","14057","-16178","0","-3448","-12730","0","-12730","0","-12730","4073","0","0","-12730"
"11916","0","53051","","The Buckholts State Bank","Buckholts","TX","76518","3/31/2020","6/2/2020","NM","100 N. 4th St.","","3","0","","4","1","Milam","","","1/1/1907","1/1/1934","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.buckholtsbank.com","775","77","698","0","72","0","64","","8","404","252","26","126","366","0","0","366","0","366","0","366","1","207","0","366"
"12223","0","719656","1097098","The Callaway Bank","Fulton","MO","65251","3/31/2020","6/2/2020","SM","5 E. 5th St.","CALLAWAY SECURITY BANKS INC","8","0","","4","0","Callaway","27620","Jefferson City, MO","1/1/1857","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.callawaybank.com","4089","678","3411","240","942","0","193","","749","3093","932","211","1950","1020","66","227","859","0","859","0","859","-3","158","0","806.86"
"4255","9393","593007","1130249","The Camden National Bank","Camden","ME","4843","3/31/2020","6/2/2020","N","2 Elm St.","CAMDEN NATIONAL CORP","63","0","","4","0","Knox","","","1/1/1875","1/1/1934","12/1/2016","Stock","0","1","OCC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.camdennational.com","40182","7462","32720","1772","11443","1502","2012","0","7929","24439","14327","4091","6021","17952","0","3636","14316","0","14316","0","14316","422","6900","0","14316"
"16757","10677","398248","1203901","The Campbell & Fetter Bank","Kendallville","IN","46755","3/31/2020","6/2/2020","NM","126 S. Orchard St.","C&F BANC SHARES CORP","8","0","","6","0","Noble","","","1/1/1863","1/3/1949","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.campbellfetterbank.com","2522","303","2219","0","197","0","87","0","110","1568","899","299","370","848","0","171","677","0","677","0","677","8","488","0","677"
